Station ID,Sample Date (mm/dd/yyyy),Plot Size (m2),Total Plot Aboveground Live Biomass (g/m2),Total Plot Aboveground Dead Biomass (g/m2),Scientific Name As Originally Observed,Common Name As Originally Observed,Scientific Name as Currently Recognized,Common Name as Currently Recognized,Live stems (N),Average Live Stem Height (cm),Standard Error Live Stem Height (cm),Average Live Stem Diameter (mm),Standard Error Live Stem Diameter (mm),Aboveground Live Biomass (g/m2),Total Carbon (mg/g),Total Nitrogen (mg/g),Total Phosphorus (mg/kg),Organization,Personnel,Comments,Latitude,Longitude
CRMS0033-BAG02,10/26/2017,0.25,1094.88,496.12,Panicum repens L.,Torpedograss,Panicum repens L.,Torpedograss,123,84.3,4.1,2.8,0.2,311.44,457.70,16.45,1167.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,30.27607887,-90.38734766
CRMS0033-BAG02,10/26/2017,0.25,1094.88,496.12,Sagittaria lancifolia L.,Bulltongue,Sagittaria lancifolia L.,Bulltongue,24,83.8,4.2,19.2,0.9,108.72,450.16,15.39,1480.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,30.27607887,-90.38734766
CRMS0033-BAG02,10/26/2017,0.25,1094.88,496.12,Typha latifolia L.,broadleaf cattail,Typha latifolia L.,broadleaf cattail,3,195.0,7.1,25.6,2.0,243.36,439.71,30.75,2115.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,30.27607887,-90.38734766
CRMS0033-BAG02,10/26/2017,0.25,1094.88,496.12,Phragmites australis (Cav.) Trin. ex Steud.,common reed,Phragmites australis (Cav.) Trin. ex Steud.,common reed,3,180.5,29.9,7.7,1.2,195.20,447.51,19.37,1042.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,30.27607887,-90.38734766
CRMS0033-BAG03,10/26/2017,0.25,1219.28,466.84,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,41,96.5,4.7,2.4,0.2,101.88,453.66,24.38,1364.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,30.27631305,-90.38733106
CRMS0033-BAG03,10/26/2017,0.25,1219.28,466.84,Sagittaria lancifolia L.,Bulltongue,Sagittaria lancifolia L.,Bulltongue,89,48.2,4.1,12.0,1.9,66.64,448.65,35.28,2262.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,30.27631305,-90.38733106
CRMS0033-BAG03,10/26/2017,0.25,1219.28,466.84,Typha latifolia L.,broadleaf cattail,Typha latifolia L.,broadleaf cattail,4,166.5,8.1,38.0,2.6,410.64,459.07,12.10,631.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,30.27631305,-90.38733106
CRMS0033-BAG03,10/26/2017,0.25,1219.28,466.84,Phragmites australis (Cav.) Trin. ex Steud.,common reed,Phragmites australis (Cav.) Trin. ex Steud.,common reed,3,259.7,9.5,12.3,0.3,440.52,461.94,20.15,1419.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,30.27631305,-90.38733106
CRMS0108-BAG01,9/15/2017,0.25,1243.12,383.52,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,366,48.3,4.1,5.2,0.5,851.64,442.76,9.49,668.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,29.95335787,-89.41229306
CRMS0108-BAG02,9/15/2017,0.25,1001.60,257.08,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,144,55.9,4.3,6.2,1.0,584.16,437.67,9.53,652.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,29.95321798,-89.41212209
CRMS0108-BAG03,9/15/2017,0.25,1115.96,298.80,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,157,69.3,5.3,5.8,1.0,779.88,437.82,9.33,831.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,29.95316055,-89.41199991
CRMS0115-BAG01,9/15/2017,0.25,1966.80,434.48,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,593,94.8,9.4,2.6,0.2,1712.20,455.73,15.24,1468.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,29.62169741,-89.79125220
CRMS0115-BAG02,9/15/2017,0.25,2268.36,713.80,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,204,161.4,6.3,4.2,0.4,2148.00,463.30,9.37,876.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,29.62181480,-89.79125879
CRMS0115-BAG03,9/15/2017,0.25,3894.88,937.76,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,377,125.7,8.4,4.0,0.3,3525.88,463.16,12.06,1038.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,29.62203683,-89.79111758
CRMS0118-BAG01,8/31/2017,0.25,733.12,440.08,Typha domingensis Pers.,southern cattail,Typha domingensis Pers.,southern cattail,2,237.6,9.3,33.0,3.0,517.88,462.53,13.07,992.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,29.38278543,-89.47899335
CRMS0118-BAG01,8/31/2017,0.25,733.12,440.08,Sagittaria lancifolia L.,Bulltongue,Sagittaria lancifolia L.,Bulltongue,6,94.8,3.5,27.6,1.6,66.52,434.22,30.53,2576.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,29.38278543,-89.47899335
CRMS0118-BAG02,8/31/2017,0.25,915.36,273.12,Typha domingensis Pers.,southern cattail,Typha domingensis Pers.,southern cattail,5,210.4,5.0,23.6,3.2,402.16,471.88,19.24,1266.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,29.38278947,-89.47948737
CRMS0118-BAG03,8/31/2017,0.25,1166.20,427.60,Typha domingensis Pers.,southern cattail,Typha domingensis Pers.,southern cattail,16,221.1,4.3,21.6,0.7,712.88,475.02,23.84,1571.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,29.38278345,-89.47960082
CRMS0118-BAG03,8/31/2017,0.25,1166.20,427.60,Sagittaria lancifolia L.,Bulltongue,Sagittaria lancifolia L.,Bulltongue,10,162.3,38.3,21.8,0.9,85.52,428.42,30.28,2243.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,29.38278345,-89.47960082
CRMS0131-BAG01,9/22/2017,0.25,1731.08,1033.68,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,359,116.7,6.8,2.4,0.2,1691.10,461.20,9.86,705.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,29.72951736,-89.72626583
CRMS0131-BAG02,9/22/2017,0.25,1218.80,657.60,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,372,102.6,10.2,3.0,0.3,1193.90,463.36,12.28,957.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,29.72967513,-89.72644667
CRMS0131-BAG03,9/22/2017,0.25,798.60,353.04,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,247,100.1,6.0,3.0,0.0,776.16,462.91,10.35,802.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,29.72977577,-89.72650539
CRMS0135-BAG01,9/22/2017,0.25,3904.08,775.92,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,843,122.1,4.1,3.4,0.2,3605.00,461.41,10.55,968.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,29.66571116,-89.60389050
CRMS0135-BAG02,9/22/2017,0.25,2183.92,284.60,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,573,100.8,6.8,2.4,0.2,1609.80,456.28,10.18,861.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,29.66576946,-89.60370269
CRMS0135-BAG03,9/22/2017,0.25,3429.80,753.36,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,664,115.1,7.5,3.0,0.3,3398.60,460.97,10.76,938.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,29.66587598,-89.60363716
CRMS0136-BAG01,9/22/2017,0.25,1180.12,1107.40,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,216,99.3,4.4,2.8,0.2,995.60,461.25,8.21,977.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,29.34266722,-89.32425790
CRMS0136-BAG02,9/22/2017,0.25,903.60,555.96,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,167,87.3,6.7,2.6,0.2,654.76,460.19,7.75,1165.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,29.34287771,-89.32404454
CRMS0136-BAG02,9/22/2017,0.25,903.60,555.96,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,4,94.9,16.5,9.0,0.4,86.00,435.89,11.17,1427.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,29.34287771,-89.32404454
CRMS0136-BAG03,9/22/2017,0.25,960.96,947.12,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,189,75.1,7.0,2.4,0.2,809.60,463.26,7.97,1004.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,29.34239432,-89.32351654
CRMS0136-BAG03,9/22/2017,0.25,960.96,947.12,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,4,84.4,6.6,9.5,1.0,79.76,444.71,12.03,1211.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,29.34239432,-89.32351654
CRMS0139-BAG01,8/31/2017,0.25,900.36,9.36,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,41,108.7,0.9,6.8,0.2,477.68,444.87,14.24,1376.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,29.91953222,-89.85624793
CRMS0139-BAG02,8/31/2017,0.25,1144.64,70.68,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,26,107.8,7.6,6.8,0.4,525.40,453.51,12.29,1371.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,29.91947346,-89.85605308
CRMS0139-BAG02,8/31/2017,0.25,1144.64,70.68,Sagittaria lancifolia L.,Bulltongue,Sagittaria lancifolia L.,Bulltongue,35,98.2,0.8,35.4,2.2,460.40,446.86,31.52,2720.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,29.91947346,-89.85605308
CRMS0139-BAG03,8/31/2017,0.25,563.08,56.68,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,33,74.2,5.6,6.4,0.4,337.72,450.06,14.13,1365.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,29.91970787,-89.85567304
CRMS0139-BAG03,8/31/2017,0.25,563.08,56.68,Sagittaria lancifolia L.,Bulltongue,Sagittaria lancifolia L.,Bulltongue,,,,,,,443.60,32.56,2835.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,29.91970787,-89.85567304
CRMS0146-BAG01,9/15/2017,0.25,1064.20,137.96,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,572,78.1,8.5,2.2,0.2,999.24,450.70,9.17,894.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,30.05582939,-89.82410315
CRMS0146-BAG02,9/15/2017,0.25,1460.88,233.20,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,494,107.1,5.7,2.6,0.2,1342.16,438.52,12.50,782.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,30.05602236,-89.82350611
CRMS0146-BAG03,9/15/2017,0.25,1798.20,118.24,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,647,93.9,7.5,2.8,0.2,1638.28,443.38,9.81,619.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,30.05606065,-89.82322501
CRMS0147-BAG01,9/15/2017,0.25,1258.04,288.32,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,125,70.1,7.4,8.0,0.7,1258.04,444.18,9.93,1298.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,30.25927695,-89.88466422
CRMS0147-BAG02,9/15/2017,0.25,726.56,301.28,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,141,54.8,5.5,5.4,0.4,726.56,435.37,9.82,845.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,30.25841670,-89.88375650
CRMS0147-BAG03,9/15/2017,0.25,639.16,395.28,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,109,59.0,5.9,6.0,0.6,639.16,437.61,10.52,763.00,U.S. GEOL SURVEY (USGS),"Hamm, K",,30.25810033,-89.88372494
CRMS0172-BAG01,10/18/2016,0.25,1060.64,138.00,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,68,85.7,5.1,8.9,0.9,759.44,418.69,10.45,1217.89,U.S. GEOL SURVEY (USGS),"Snedden, G.",,29.31649924,-89.73430194
CRMS0172-BAG02,10/18/2016,0.25,1238.52,139.20,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,85,77.3,6.3,8.7,0.7,866.52,413.56,8.10,902.26,U.S. GEOL SURVEY (USGS),"Snedden, G.",,29.31650800,-89.73429137
CRMS0172-BAG03,10/18/2016,0.25,1512.80,169.60,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,72,66.2,9.5,7.8,0.6,1126.40,420.26,9.85,1004.26,U.S. GEOL SURVEY (USGS),"Snedden, G.",,29.31651676,-89.73428080
CRMS0173-BAG01,10/5/2016,0.25,1189.68,104.00,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,71,88.5,15.3,7.6,0.5,1068.08,432.65,12.35,1017.29,U.S. GEOL SURVEY (USGS),"Snedden, G.",,29.45430037,-89.72990393
CRMS0173-BAG02,10/5/2016,0.25,1423.88,96.80,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,65,95.5,11.9,8.7,0.9,1353.48,421.71,11.40,1120.35,U.S. GEOL SURVEY (USGS),"Snedden, G.",,29.45430913,-89.72989334
CRMS0173-BAG03,10/5/2016,0.25,1960.72,105.60,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,63,118.1,10.5,9.8,0.3,1715.12,433.89,10.33,1223.59,U.S. GEOL SURVEY (USGS),"Snedden, G.",,29.45431788,-89.72988276
CRMS0175-BAG01,10/18/2016,0.25,983.16,17.20,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,71,89.0,6.6,8.8,1.0,866.76,418.13,9.38,1218.22,U.S. GEOL SURVEY (USGS),"Snedden, G.",,29.28740094,-90.13790452
CRMS0175-BAG02,10/18/2016,0.25,1050.64,47.76,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,63,83.3,3.6,8.4,0.9,970.64,426.96,8.62,875.52,U.S. GEOL SURVEY (USGS),"Snedden, G.",,29.28740973,-90.13789399
CRMS0175-BAG03,10/18/2016,0.25,1190.68,44.60,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,69,88.9,5.3,9.7,0.7,999.56,426.48,8.45,713.03,U.S. GEOL SURVEY (USGS),"Snedden, G.",,29.28741853,-90.13788345
CRMS0189-BAG01,10/12/2016,0.25,935.36,75.60,Sagittaria lancifolia L.,Bulltongue,Sagittaria lancifolia L.,Bulltongue,16,80.2,3.5,13.5,2.2,19.52,373.63,23.04,3208.90,U.S. GEOL SURVEY (USGS),"Snedden, G.",,29.80989769,-90.26049959
CRMS0189-BAG02,10/12/2016,0.25,656.08,143.20,Sagittaria lancifolia L.,Bulltongue,Sagittaria lancifolia L.,Bulltongue,36,71.9,6.8,12.7,1.9,72.80,382.85,21.94,2629.50,U.S. GEOL SURVEY (USGS),"Snedden, G.",,29.80990649,-90.26048901
CRMS0189-BAG03,10/12/2016,0.25,676.40,79.60,Sagittaria lancifolia L.,Bulltongue,Sagittaria lancifolia L.,Bulltongue,15,77.0,5.6,11.1,2.3,30.40,388.30,23.77,2641.01,U.S. GEOL SURVEY (USGS),"Snedden, G.",,29.80991529,-90.26047843
CRMS0192-BAG01,9/8/2016,0.25,1595.60,205.20,,,,,,,,,,,,,,U.S. GEOL SURVEY (USGS),"Snedden, G.",No target species present,29.85349855,-90.54169841
CRMS0192-BAG02,9/8/2016,0.25,960.80,166.20,,,,,,,,,,,,,,U.S. GEOL SURVEY (USGS),"Snedden, G.",No target species present,29.85350738,-90.54168785
CRMS0192-BAG03,9/8/2016,0.25,1373.20,141.48,,,,,,,,,,,,,,U.S. GEOL SURVEY (USGS),"Snedden, G.",No target species present,29.85351620,-90.54167728
CRMS0209-BAG01,10/13/2016,0.25,1385.96,36.00,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,63,83.9,7.9,8.3,0.7,680.76,420.12,11.93,1081.84,U.S. GEOL SURVEY (USGS),"Snedden, G.",,29.49059681,-89.79169577
CRMS0209-BAG01,10/13/2016,0.25,1385.96,36.00,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,119,71.4,11.3,2.2,0.1,399.60,423.99,7.89,712.82,U.S. GEOL SURVEY (USGS),"Snedden, G.",,29.49059681,-89.79169577
CRMS0209-BAG02,10/13/2016,0.25,1460.00,92.00,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,37,79.0,14.3,8.8,0.6,444.40,418.54,13.11,1235.95,U.S. GEOL SURVEY (USGS),"Snedden, G.",,29.49060557,-89.79168518
CRMS0209-BAG02,10/13/2016,0.25,1460.00,92.00,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,141,73.1,11.7,2.3,0.2,526.00,424.29,8.31,750.26,U.S. GEOL SURVEY (USGS),"Snedden, G.",,29.49060557,-89.79168518
CRMS0209-BAG03,10/13/2016,0.25,2140.00,19.60,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,52,78.3,8.5,8.6,0.6,710.40,392.91,11.97,1273.85,U.S. GEOL SURVEY (USGS),"Snedden, G.",,29.49061433,-89.79167460
CRMS0209-BAG03,10/13/2016,0.25,2140.00,19.60,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,193,79.1,10.6,2.1,0.2,752.00,419.99,8.74,711.72,U.S. GEOL SURVEY (USGS),"Snedden, G.",,29.49061433,-89.79167460
CRMS0211-BAG01,9/8/2016,0.25,1307.64,56.28,Sagittaria lancifolia L.,Bulltongue,Sagittaria lancifolia L.,Bulltongue,5,75.2,1.9,17.3,0.4,60.64,430.68,26.69,2715.82,U.S. GEOL SURVEY (USGS),"Snedden, G.",,29.78089577,-90.47919741
CRMS0211-BAG02,9/8/2016,0.25,524.04,17.40,Sagittaria lancifolia L.,Bulltongue,Sagittaria lancifolia L.,Bulltongue,,,,,,19.68,416.70,22.06,3079.44,U.S. GEOL SURVEY (USGS),"Snedden, G.",no whole stems,29.78090458,-90.47918685
CRMS0211-BAG02,9/8/2016,0.25,524.04,17.40,Typha L.,cattail,Typha L.,cattail,1,195.2,0.0,35.9,0.0,63.28,471.04,10.91,844.38,U.S. GEOL SURVEY (USGS),"Snedden, G.",no whole stems,29.78090458,-90.47918685
CRMS0211-BAG03,9/8/2016,0.25,1650.56,58.40,Sagittaria lancifolia L.,Bulltongue,Sagittaria lancifolia L.,Bulltongue,,,,,,8.52,431.38,26.86,3227.43,U.S. GEOL SURVEY (USGS),"Snedden, G.",no whole stems,29.78091340,-90.47917629
CRMS0224-BAG01,10/14/2016,0.25,2911.96,45.60,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,49,101.5,10.1,8.7,1.0,779.48,409.73,7.83,898.07,U.S. GEOL SURVEY (USGS),"Snedden, G.",,29.49780354,-89.91669854
CRMS0224-BAG01,10/14/2016,0.25,2911.96,45.60,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,72,95.0,7.2,1.5,0.1,165.60,436.62,8.38,1099.03,U.S. GEOL SURVEY (USGS),"Snedden, G.",,29.49780354,-89.91669854
CRMS0224-BAG02,10/14/2016,0.25,890.04,120.40,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,57,81.4,11.7,7.9,1.5,573.24,424.35,9.39,1074.09,U.S. GEOL SURVEY (USGS),"Snedden, G.",,29.49781231,-89.91668797
CRMS0224-BAG02,10/14/2016,0.25,890.04,120.40,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,45,70.2,4.1,1.9,0.1,113.20,440.92,9.56,860.44,U.S. GEOL SURVEY (USGS),"Snedden, G.",,29.49781231,-89.91668797
CRMS0224-BAG03,10/14/2016,0.25,2267.00,91.60,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,69,92.9,10.3,6.7,0.4,1007.52,431.20,7.81,890.43,U.S. GEOL SURVEY (USGS),"Snedden, G.",,29.49782109,-89.91667739
CRMS0224-BAG03,10/14/2016,0.25,2267.00,91.60,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,111,83.8,6.9,1.7,0.2,258.00,434.06,8.44,823.52,U.S. GEOL SURVEY (USGS),"Snedden, G.",,29.49782109,-89.91667739
CRMS0225-BAG01,8/29/2016,0.25,247.64,344.00,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,25,88.7,7.0,1.7,0.1,68.04,436.84,10.60,2458.05,U.S. GEOL SURVEY (USGS),"Snedden, G.",,29.56319630,-90.01049588
CRMS0225-BAG02,8/29/2016,0.25,772.20,475.60,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,52,81.8,5.1,2.3,0.1,200.96,438.25,9.67,2040.42,U.S. GEOL SURVEY (USGS),"Snedden, G.",,29.56320508,-90.01048530
CRMS0225-BAG03,8/29/2016,0.25,712.80,302.80,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,38,68.6,10.5,2.0,0.1,162.80,436.04,12.05,1693.91,U.S. GEOL SURVEY (USGS),"Snedden, G.",,29.56321386,-90.01047473
CRMS0237-BAG01,8/29/2016,0.25,1326.40,671.20,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,17,101.1,5.3,7.6,0.8,401.60,442.34,10.06,1102.74,U.S. GEOL SURVEY (USGS),"Snedden, G.",,29.47599755,-89.94800167
CRMS0237-BAG02,8/29/2016,0.25,1134.96,123.56,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,48,64.3,10.8,6.9,0.6,1134.96,438.55,12.49,1446.75,U.S. GEOL SURVEY (USGS),"Snedden, G.",,29.47600632,-89.94799110
