Station ID,Group,Sample Date (mm/dd/yyyy),Sample Depth (cm),Wet Soil pH (pH units),Dry Soil pH (pH units),Soil Specific Conductance (uS/cm),Soil Salinity (ppt),Soil Moisture Content (%),Bulk Density (g/cm3),Organic Matter (%),Wet Volume (cm3),Dry Volume (cm3),Biomass Target Flora Species,Belowground Live Biomass (g/m2),Belowground Dead Biomass (g/m2),Organic Density (g/cm3),Total Carbon (g/kg),Carbon Density (mg/cm3),Total Nitrogen (g/kg),Total Phosphorus (mg/kg),Sand (%),Silt (%),Clay (%),Particle Size Mean (phi),Particle Size Median (phi),Particle Size Standard Deviation (phi),Radiometric Dating Method and Units,Isotope Concentration,Organization,Personnel,Comments,Latitude,Longitude
CRMS0002-S02,,6/10/2008,16 to 20,6.9,5.74,4750,2.5,80.1,0.18,41.68,324.29,81,,,,0.075,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Beadle; J. Pace,,30.10027376,-89.79171479
CRMS0002-S02,,6/10/2008,20 to 24,6.95,5.57,4683,2.5,77.26,0.21,26.98,324.29,57.6,,,,0.0567,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Beadle; J. Pace,,30.10027376,-89.79171479
CRMS0002-S03,,6/10/2008,0 to 4,6.33,5.94,2144,1.1,67.32,0.11,21.4,324.29,44.6,,,,0.0235,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Beadle; J. Pace,,30.10027123,-89.79161117
CRMS0002-S03,,6/10/2008,4 to 8,5.9,5.76,2251,1.2,64.02,0.22,21.6,324.29,75.2,,,,0.0475,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Beadle; J. Pace,,30.10027123,-89.79161117
CRMS0002-S03,,6/10/2008,8 to 12,5.76,5.06,1881,0.95,62.35,0.38,23.39,324.29,121.3,,,,0.0889,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Beadle; J. Pace,,30.10027123,-89.79161117
CRMS0002-S03,,6/10/2008,12 to 16,5.38,5.38,2161,1.1,69.55,0.29,16.16,324.29,106.3,,,,0.0469,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Beadle; J. Pace,,30.10027123,-89.79161117
CRMS0002-S03,,6/10/2008,16 to 20,5.46,4.72,2230,1.15,70.11,0.27,23.18,324.29,101,,,,0.0626,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Beadle; J. Pace,,30.10027123,-89.79161117
CRMS0002-S03,,6/10/2008,20 to 24,5.85,4.86,2792,1.4,70.02,0.27,22.75,324.29,86.1,,,,0.0614,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Beadle; J. Pace,,30.10027123,-89.79161117
CRMS0002-S04,,4/3/2018,0 to 4,,,,,76.27,0.24,27.82,324.29,70.51,,,,0.0668,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,T. Siemens; D. Oehler; J. Pace,Spartina patens is dominant vegetation. 7 cm of water on marsh surface.,30.10026754,-89.79182907
CRMS0002-S04,,4/3/2018,4 to 8,,,,,73.45,0.26,20.51,324.29,93.19,,,,0.0533,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,T. Siemens; D. Oehler; J. Pace,Spartina patens is dominant vegetation. 7 cm of water on marsh surface.,30.10026754,-89.79182907
CRMS0002-S04,,4/3/2018,8 to 12,,,,,75.41,0.23,26.46,324.29,97.13,,,,0.0609,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,T. Siemens; D. Oehler; J. Pace,Spartina patens is dominant vegetation. 7 cm of water on marsh surface.,30.10026754,-89.79182907
CRMS0002-S04,,4/3/2018,12 to 16,,,,,73.74,0.27,18.78,324.29,78.07,,,,0.0507,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,T. Siemens; D. Oehler; J. Pace,Spartina patens is dominant vegetation. 7 cm of water on marsh surface.,30.10026754,-89.79182907
CRMS0002-S04,,4/3/2018,16 to 20,,,,,73.47,0.28,18.2,324.29,73.57,,,,0.051,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,T. Siemens; D. Oehler; J. Pace,Spartina patens is dominant vegetation. 7 cm of water on marsh surface.,30.10026754,-89.79182907
CRMS0002-S04,,4/3/2018,20 to 24,,,,,74.31,0.26,17.07,324.29,79.96,,,,0.0444,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,T. Siemens; D. Oehler; J. Pace,Spartina patens is dominant vegetation. 7 cm of water on marsh surface.,30.10026754,-89.79182907
CRMS0002-S05,,4/3/2018,0 to 4,,,,,74.83,0.22,23.31,324.29,116.67,,,,0.0513,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,T. Siemens; D. Oehler; J. Pace,Spartina patens is dominant vegetation. 6 cm of water on marsh surface.,30.10040396,-89.79187651
CRMS0002-S05,,4/3/2018,4 to 8,,,,,65.28,0.31,14.69,324.29,134.39,,,,0.0455,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,T. Siemens; D. Oehler; J. Pace,Spartina patens is dominant vegetation. 6 cm of water on marsh surface.,30.10040396,-89.79187651
CRMS0002-S05,,4/3/2018,8 to 12,,,,,70.16,0.32,16.97,324.29,76.75,,,,0.0543,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,T. Siemens; D. Oehler; J. Pace,Spartina patens is dominant vegetation. 6 cm of water on marsh surface.,30.10040396,-89.79187651
CRMS0002-S05,,4/3/2018,12 to 16,,,,,64.19,0.38,14.17,324.29,103.47,,,,0.0538,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,T. Siemens; D. Oehler; J. Pace,Spartina patens is dominant vegetation. 6 cm of water on marsh surface.,30.10040396,-89.79187651
CRMS0002-S05,,4/3/2018,16 to 20,,,,,74.31,0.26,15.9,324.29,76.03,,,,0.0413,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,T. Siemens; D. Oehler; J. Pace,Spartina patens is dominant vegetation. 6 cm of water on marsh surface.,30.10040396,-89.79187651
CRMS0002-S05,,4/3/2018,20 to 24,,,,,86.58,0.13,55.3,324.29,57.22,,,,0.0719,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,T. Siemens; D. Oehler; J. Pace,Spartina patens is dominant vegetation. 6 cm of water on marsh surface.,30.10040396,-89.79187651
CRMS0002-S06,,4/3/2018,0 to 4,,,,,78.09,0.2,24.48,324.29,89.58,,,,0.049,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,T. Siemens; D. Oehler; J. Pace,Spartina patens is dominant vegetation. Vegetation sparse in immediate vicinity. 17 cm of water on marsh surface.,30.10042249,-89.79189666
CRMS0002-S06,,4/3/2018,4 to 8,,,,,69.4,0.35,14.58,324.29,66.92,,,,0.051,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,T. Siemens; D. Oehler; J. Pace,Spartina patens is dominant vegetation. Vegetation sparse in immediate vicinity. 17 cm of water on marsh surface.,30.10042249,-89.79189666
CRMS0002-S06,,4/3/2018,8 to 12,,,,,68.65,0.3,16.95,324.29,113.19,,,,0.0509,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,T. Siemens; D. Oehler; J. Pace,Spartina patens is dominant vegetation. Vegetation sparse in immediate vicinity. 17 cm of water on marsh surface.,30.10042249,-89.79189666
CRMS0002-S06,,4/3/2018,12 to 16,,,,,72.49,0.28,11.44,324.29,81.96,,,,0.032,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,T. Siemens; D. Oehler; J. Pace,Spartina patens is dominant vegetation. Vegetation sparse in immediate vicinity. 17 cm of water on marsh surface.,30.10042249,-89.79189666
CRMS0002-S06,,4/3/2018,16 to 20,,,,,86.41,0.12,45.28,324.29,67.27,,,,0.0543,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,T. Siemens; D. Oehler; J. Pace,Spartina patens is dominant vegetation. Vegetation sparse in immediate vicinity. 17 cm of water on marsh surface.,30.10042249,-89.79189666
CRMS0002-S06,,4/3/2018,20 to 24,,,,,86.22,0.12,37.38,324.29,85.5,,,,0.0449,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,T. Siemens; D. Oehler; J. Pace,Spartina patens is dominant vegetation. Vegetation sparse in immediate vicinity. 17 cm of water on marsh surface.,30.10042249,-89.79189666
CRMS0003-BBG01,,9/15/2017,0 to 8,,,,,,,,,,Spartina alterniflora Loisel.,2133.75,347.77,,,,,,,,,,,,,,U.S. GEOL SURVEY (USGS),K. Hamm,,30.0994285,-89.25290167
CRMS0003-BBG01,,9/15/2017,8 to 16,,,,,,,,,,Spartina alterniflora Loisel.,14.01,2382.16,,,,,,,,,,,,,,U.S. GEOL SURVEY (USGS),K. Hamm,,30.0994285,-89.25290167
CRMS0003-BBG01,,9/15/2017,16 to 24,,,,,,,,,,Spartina alterniflora Loisel.,1.27,1239.49,,,,,,,,,,,,,,U.S. GEOL SURVEY (USGS),K. Hamm,,30.0994285,-89.25290167
CRMS0003-BBG02,,9/15/2017,0 to 8,,,,,,,,,,Spartina alterniflora Loisel.,1989.8,352.86,,,,,,,,,,,,,,U.S. GEOL SURVEY (USGS),K. Hamm,,30.09930213,-89.25289608
CRMS0003-BBG02,,9/15/2017,8 to 16,,,,,,,,,,Spartina alterniflora Loisel.,10.19,2431.84,,,,,,,,,,,,,,U.S. GEOL SURVEY (USGS),K. Hamm,,30.09930213,-89.25289608
CRMS0003-BBG02,,9/15/2017,16 to 24,,,,,,,,,,Spartina alterniflora Loisel.,0,1393.63,,,,,,,,,,,,,,U.S. GEOL SURVEY (USGS),K. Hamm,,30.09930213,-89.25289608
CRMS0003-BBG03,,9/15/2017,0 to 8,,,,,,,,,,Spartina alterniflora Loisel.,2137.57,343.94,,,,,,,,,,,,,,U.S. GEOL SURVEY (USGS),K. Hamm,,30.09927939,-89.25273105
CRMS0003-BBG03,,9/15/2017,8 to 16,,,,,,,,,,Spartina alterniflora Loisel.,277.7,2296.81,,,,,,,,,,,,,,U.S. GEOL SURVEY (USGS),K. Hamm,,30.09927939,-89.25273105
CRMS0003-BBG03,,9/15/2017,16 to 24,,,,,,,,,,Spartina alterniflora Loisel.,11.46,1980.89,,,,,,,,,,,,,,U.S. GEOL SURVEY (USGS),K. Hamm,,30.09927939,-89.25273105
CRMS0003-S01,,6/12/2008,0 to 4,6.76,6.68,9920,5.6,35.58,0.66,5.98,324.29,188,,,,0.0395,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,D. Oehler; J. Pace,,30.09949314,-89.25264004
CRMS0003-S01,,6/12/2008,4 to 8,6.44,5.77,11500,6.55,47.25,0.67,9.91,324.29,205.4,,,,0.0664,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,D. Oehler; J. Pace,,30.09949314,-89.25264004
CRMS0003-S01,,6/12/2008,8 to 12,6,4.8,12830,7.4,59.78,0.45,17.32,324.29,160.1,,,,0.0779,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,D. Oehler; J. Pace,,30.09949314,-89.25264004
CRMS0003-S01,,6/12/2008,12 to 16,6.9,4.88,11110,6.3,48.01,0.6,12.68,324.29,182.4,,,,0.0761,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,D. Oehler; J. Pace,,30.09949314,-89.25264004
CRMS0003-S01,,6/12/2008,16 to 20,7.75,6.48,12860,7.4,57.83,0.47,15.14,324.29,152,,,,0.0712,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,D. Oehler; J. Pace,,30.09949314,-89.25264004
CRMS0003-S01,,6/12/2008,20 to 24,8.07,5.93,11875,6.8,50.47,0.63,9.91,324.29,200.1,,,,0.0624,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,D. Oehler; J. Pace,,30.09949314,-89.25264004
CRMS0003-S02,,6/12/2008,0 to 4,5.31,5.4,12680,7.3,33.02,0.69,6.11,324.29,213.2,,,,0.0422,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,D. Oehler; J. Pace,,30.09953183,-89.25273189
CRMS0003-S02,,6/12/2008,4 to 8,6.21,5.37,11460,6.55,46.12,0.71,10.81,324.29,239,,,,0.0768,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,D. Oehler; J. Pace,,30.09953183,-89.25273189
CRMS0003-S02,,6/12/2008,8 to 12,6.24,5.71,13940,8.1,53.74,0.57,12.87,324.29,184.4,,,,0.0734,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,D. Oehler; J. Pace,,30.09953183,-89.25273189
CRMS0003-S02,,6/12/2008,12 to 16,7.82,6.21,12690,7.3,44.57,0.72,10.69,324.29,213.4,,,,0.077,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,D. Oehler; J. Pace,,30.09953183,-89.25273189
CRMS0003-S02,,6/12/2008,16 to 20,8.16,5.81,14820,8.6,56.77,0.55,11.32,324.29,208.8,,,,0.0623,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,D. Oehler; J. Pace,,30.09953183,-89.25273189
CRMS0003-S02,,6/12/2008,20 to 24,8.24,6.01,13690,7.9,49.55,0.55,9.71,324.29,172.1,,,,0.0534,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,D. Oehler; J. Pace,,30.09953183,-89.25273189
CRMS0003-S03,,6/12/2008,0 to 4,7.03,6.35,12140,6.95,36.35,0.79,3.6,324.29,234.8,,,,0.0284,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,D. Oehler; J. Pace,,30.09946554,-89.25262035
CRMS0003-S03,,6/12/2008,4 to 8,7.1,6.12,11090,6.3,51.35,0.59,9.79,324.29,214.8,,,,0.0578,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,D. Oehler; J. Pace,,30.09946554,-89.25262035
CRMS0003-S03,,6/12/2008,8 to 12,6.6,6,10070,5.7,47.9,0.63,10.72,324.29,200.6,,,,0.0675,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,D. Oehler; J. Pace,,30.09946554,-89.25262035
CRMS0003-S03,,6/12/2008,12 to 16,7.14,5,11000,6.2,46.7,0.58,12.33,324.29,200.9,,,,0.0715,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,D. Oehler; J. Pace,,30.09946554,-89.25262035
CRMS0003-S03,,6/12/2008,16 to 20,7.62,4.91,11300,6.4,48.66,0.59,12.89,324.29,162.5,,,,0.0761,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,D. Oehler; J. Pace,,30.09946554,-89.25262035
CRMS0003-S03,,6/12/2008,20 to 24,7.42,5.79,13080,7.6,62.6,0.46,11.5,324.29,166.2,,,,0.0529,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,D. Oehler; J. Pace,,30.09946554,-89.25262035
CRMS0003-SB01,,9/13/2017,0 to 4,,,,,65.78,0.44,16.3,,,,,,0.0717,58.49,25.735,3.53,429.84,19.53,56.14,24.33,6.1,6.08,2.45,,,COASTAL ESTUARY SERVICES LLC,D. Oehler; J. Pace,Dominant vegetation was Spartina alterniflora; site not flooded but holding 1cm of water on marsh surface,30.0994285,-89.25290167
CRMS0003-SB01,,9/13/2017,4 to 8,,,,,43.44,0.79,8.48,,,,,,0.0669,21.42,16.921,1.16,382.25,38.76,45.68,15.56,5.04,4.28,2.43,,,COASTAL ESTUARY SERVICES LLC,D. Oehler; J. Pace,Dominant vegetation was Spartina alterniflora; site not flooded but holding 1cm of water on marsh surface,30.0994285,-89.25290167
CRMS0003-SB01,,9/13/2017,8 to 12,,,,,57.75,0.46,12.56,,,,,,0.0577,43.8,20.148,2.12,244.59,37.49,48.58,13.93,4.68,4.51,2.84,,,COASTAL ESTUARY SERVICES LLC,D. Oehler; J. Pace,Dominant vegetation was Spartina alterniflora; site not flooded but holding 1cm of water on marsh surface,30.0994285,-89.25290167
CRMS0003-SB01,,9/13/2017,12 to 16,,,,,62.24,0.4,14.29,,,,,,0.0571,69.73,27.892,3.53,199.94,31.27,48.88,19.86,5.16,4.98,3.03,,,COASTAL ESTUARY SERVICES LLC,D. Oehler; J. Pace,Dominant vegetation was Spartina alterniflora; site not flooded but holding 1cm of water on marsh surface,30.0994285,-89.25290167
CRMS0003-SB01,,9/13/2017,16 to 20,,,,,66.25,0.35,14.83,,,,,,0.0519,55.26,19.341,3.03,189.02,35.86,44.47,19.67,4.93,4.9,3.15,,,COASTAL ESTUARY SERVICES LLC,D. Oehler; J. Pace,Dominant vegetation was Spartina alterniflora; site not flooded but holding 1cm of water on marsh surface,30.0994285,-89.25290167
CRMS0003-SB01,,9/13/2017,20 to 24,,,,,49.61,0.65,7.76,,,,,,0.0504,18.85,12.252,1.47,230.22,41.28,40.65,18.08,5.18,4.23,2.44,,,COASTAL ESTUARY SERVICES LLC,D. Oehler; J. Pace,Dominant vegetation was Spartina alterniflora; site not flooded but holding 1cm of water on marsh surface,30.0994285,-89.25290167
CRMS0003-SB02,,9/13/2017,0 to 4,,,,,62.35,0.58,12.79,,,,,,0.0741,48.08,27.886,3.16,400.67,,,,,,,,,COASTAL ESTUARY SERVICES LLC,D. Oehler; J. Pace,Dominant vegetation was Spartina alterniflora; site not flooded but holding 1cm of water on marsh surface,30.09930213,-89.25289608
CRMS0003-SB02,,9/13/2017,4 to 8,,,,,53.88,0.62,9.36,,,,,,0.058,28.97,17.961,2.21,360.43,,,,,,,,,COASTAL ESTUARY SERVICES LLC,D. Oehler; J. Pace,Dominant vegetation was Spartina alterniflora; site not flooded but holding 1cm of water on marsh surface,30.09930213,-89.25289608
CRMS0003-SB02,,9/13/2017,8 to 12,,,,,62.4,0.46,14.55,,,,,,0.0669,61.67,28.368,3.59,313.78,,,,,,,,,COASTAL ESTUARY SERVICES LLC,D. Oehler; J. Pace,Dominant vegetation was Spartina alterniflora; site not flooded but holding 1cm of water on marsh surface,30.09930213,-89.25289608
CRMS0003-SB02,,9/13/2017,12 to 16,,,,,57.28,0.54,9.8,,,,,,0.0529,34.45,18.603,2.56,419.71,,,,,,,,,COASTAL ESTUARY SERVICES LLC,D. Oehler; J. Pace,Dominant vegetation was Spartina alterniflora; site not flooded but holding 1cm of water on marsh surface,30.09930213,-89.25289608
CRMS0003-SB02,,9/13/2017,16 to 20,,,,,52.1,0.67,8.13,,,,,,0.0544,22.64,15.168,1.85,261.68,,,,,,,,,COASTAL ESTUARY SERVICES LLC,D. Oehler; J. Pace,Dominant vegetation was Spartina alterniflora; site not flooded but holding 1cm of water on marsh surface,30.09930213,-89.25289608
CRMS0003-SB02,,9/13/2017,20 to 24,,,,,55.12,0.62,7.66,,,,,,0.0474,27.11,16.808,2.05,324.67,,,,,,,,,COASTAL ESTUARY SERVICES LLC,D. Oehler; J. Pace,Dominant vegetation was Spartina alterniflora; site not flooded but holding 1cm of water on marsh surface,30.09930213,-89.25289608
CRMS0003-SB03,,9/13/2017,0 to 4,,,,,58.99,0.51,11.82,,,,,,0.0602,41.62,21.226,2.78,381.85,,,,,,,,,COASTAL ESTUARY SERVICES LLC,D. Oehler; J. Pace,Dominant vegetation was Spartina alterniflora; site not flooded but holding 3cm of water on marsh surface,30.09927939,-89.25273105
CRMS0003-SB03,,9/13/2017,4 to 8,,,,,40.6,0.87,6.83,,,,,,0.0594,25.09,21.828,1.83,323.1,,,,,,,,,COASTAL ESTUARY SERVICES LLC,D. Oehler; J. Pace,Dominant vegetation was Spartina alterniflora; site not flooded but holding 3cm of water on marsh surface,30.09927939,-89.25273105
CRMS0003-SB03,,9/13/2017,8 to 12,,,,,57.4,0.51,13.21,,,,,,0.0673,51.77,26.402,3.04,338.27,,,,,,,,,COASTAL ESTUARY SERVICES LLC,D. Oehler; J. Pace,Dominant vegetation was Spartina alterniflora; site not flooded but holding 3cm of water on marsh surface,30.09927939,-89.25273105
CRMS0003-SB03,,9/13/2017,12 to 16,,,,,54.51,0.58,9.76,,,,,,0.0566,37.47,21.732,2.44,340.21,,,,,,,,,COASTAL ESTUARY SERVICES LLC,D. Oehler; J. Pace,Dominant vegetation was Spartina alterniflora; site not flooded but holding 3cm of water on marsh surface,30.09927939,-89.25273105
CRMS0003-SB03,,9/13/2017,16 to 20,,,,,39.3,0.92,3.85,,,,,,0.0354,10.67,9.816,1,327.03,,,,,,,,,COASTAL ESTUARY SERVICES LLC,D. Oehler; J. Pace,Dominant vegetation was Spartina alterniflora; site not flooded but holding 3cm of water on marsh surface,30.09927939,-89.25273105
CRMS0003-SB03,,9/13/2017,20 to 24,,,,,61.3,0.45,12.38,,,,,,0.0557,47.73,21.478,2.91,281.3,,,,,,,,,COASTAL ESTUARY SERVICES LLC,D. Oehler; J. Pace,Dominant vegetation was Spartina alterniflora; site not flooded but holding 3cm of water on marsh surface,30.09927939,-89.25273105
CRMS0006-S01,,6/20/2008,0 to 4,6.7,5.66,1777,0.9,77,0.18,19.2,324.29,105.9,,,,0.0346,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Lambou; D. Oehler,,30.26354045,-89.98231662
CRMS0006-S01,,6/20/2008,4 to 8,6.57,5.42,1699,0.85,63.28,0.43,15.17,324.29,152.9,,,,0.0652,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Lambou; D. Oehler,,30.26354045,-89.98231662
CRMS0006-S01,,6/20/2008,8 to 12,6.52,5.3,2514,1.3,64.54,0.39,16.11,324.29,122.3,,,,0.0628,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Lambou; D. Oehler,,30.26354045,-89.98231662
CRMS0006-S01,,6/20/2008,12 to 16,6.44,4.29,3175,1.7,73.94,0.28,28.47,324.29,121.4,,,,0.0797,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Lambou; D. Oehler,,30.26354045,-89.98231662
CRMS0006-S01,,6/20/2008,16 to 20,6.4,4.1,3074,1.6,74.27,0.28,32.38,324.29,97.5,,,,0.0907,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Lambou; D. Oehler,,30.26354045,-89.98231662
CRMS0006-S01,,6/20/2008,20 to 24,6.45,3.91,2937,1.5,82.91,0.18,38.18,324.29,82.5,,,,0.0687,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Lambou; D. Oehler,,30.26354045,-89.98231662
CRMS0006-S02,,6/20/2008,0 to 4,6.69,5.27,2094,1.1,84.56,0.1,33.66,324.29,55.4,,,,0.0337,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Lambou; D. Oehler,,30.2634859,-89.98229752
CRMS0006-S02,,6/20/2008,4 to 8,6.57,5.12,2181,1.1,83.5,0.14,33.39,324.29,63.4,,,,0.0467,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Lambou; D. Oehler,,30.2634859,-89.98229752
CRMS0006-S02,,6/20/2008,8 to 12,6.4,4.93,2250,1.2,85.61,0.11,35.37,324.29,58.9,,,,0.0389,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Lambou; D. Oehler,,30.2634859,-89.98229752
CRMS0006-S02,,6/20/2008,12 to 16,6.49,4.98,2168,1.1,89.06,0.09,47.51,324.29,71.5,,,,0.0428,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Lambou; D. Oehler,,30.2634859,-89.98229752
CRMS0006-S02,,6/20/2008,16 to 20,6.87,5.32,1945,1,87.59,0.11,41.26,324.29,78.8,,,,0.0454,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Lambou; D. Oehler,,30.2634859,-89.98229752
CRMS0006-S02,,6/20/2008,20 to 24,7.05,5.41,1980,1,83.21,0.15,27.91,324.29,74.4,,,,0.0419,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Lambou; D. Oehler,,30.2634859,-89.98229752
CRMS0006-S03,,6/20/2008,0 to 4,6.51,5.2,1763,0.9,64.35,0.36,10.64,324.29,140.5,,,,0.0383,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Lambou; D. Oehler,,30.26358901,-89.9820762
CRMS0006-S03,,6/20/2008,4 to 8,6.56,5.28,2003,1,76.94,0.25,28.52,324.29,108.8,,,,0.0713,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Lambou; D. Oehler,,30.26358901,-89.9820762
CRMS0006-S03,,6/20/2008,8 to 12,6.37,5.47,2305,1.2,79.28,0.24,27.51,324.29,90.7,,,,0.066,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Lambou; D. Oehler,,30.26358901,-89.9820762
