"Station_ID","Tide_Amp (ft)","calendar_year","min_date","max_date","90th%Upper_water_level (ft NAVD88)","10%thLower_water_level (ft NAVD88)","avg_water_level (ft NAVD88)","avg_flooding (ft)","90%thUpper_flooding (ft)","10%thLower_flooding (ft)","GEOID","std_deviation_water_level(ft NAVD88)","std_deviation_avg_flooding (ft)",
"CRMS0002-H01","0.2224666","2017","1/1/2017 12:00:00 AM","12/31/2017 11:00:00 PM","1.36","-0.16","0.61","0.26","1.005","-0.511","GEOID12A  ","0.64","0.64",
"CRMS0002-H01","0.2010828","2018","1/1/2018 12:00:00 AM","12/31/2018 11:00:00 PM","1.28","-0.21","0.52","0.17","0.924","-0.565","GEOID12A  ","0.6","0.6",
"CRMS0002-H01","0.232886","2019","1/1/2019 12:00:00 AM","12/31/2019 11:00:00 PM","1.57","0.11","0.82","0.47","1.214","-0.245","GEOID12A  ","0.58","0.58",
"CRMS0002-H01","0.234595","2020","1/1/2020 12:00:00 AM","12/31/2020 11:00:00 PM","1.63","-0.01","0.81","0.46","1.28","-0.36","GEOID12A  ","0.72","0.72",
"CRMS0002-H01","0.2446127","2021","1/1/2021 12:00:00 AM","12/31/2021 11:00:00 PM","1.47","0.03","0.78","0.42","1.12","-0.32","GEOID12A  ","0.64","0.64",
"CRMS0003-H01","1.05656","2008","1/1/2008 12:00:00 AM","12/31/2008 11:00:00 PM","1.78","-0.28","0.75","-0.61","0.41","-1.64","GEOID99   ","0.86","0.86",
"CRMS0003-H01","1.024635","2009","1/1/2009 12:00:00 AM","12/31/2009 11:00:00 PM","1.81","-0.24","0.82","-0.54","0.44","-1.6","GEOID99   ","0.81","0.81",
"CRMS0003-H01","0.9565122","2010","1/1/2010 12:00:00 AM","12/31/2010 11:00:00 PM","1.81","-0.25","0.77","-0.59","0.45","-1.61","GEOID99   ","0.79","0.79",
"CRMS0003-H01","0.9359366","2011","1/1/2011 12:00:00 AM","12/31/2011 11:00:00 PM","1.55","-0.22","0.7","-0.66","0.19","-1.58","GEOID99   ","0.72","0.72",
"CRMS0003-H01","0.8937799","2012","1/1/2012 12:00:00 AM","12/31/2012 11:00:00 PM","1.74","-0.03","0.9","-0.46","0.38","-1.39","GEOID99   ","0.74","0.74",
"CRMS0003-H01","0.8544093","2013","10/1/2013 12:00:00 AM","12/31/2013 11:00:00 PM","1.75","-0.11","0.82","-0.41","0.496","-1.34","GEOID12A  ","0.71","0.71",
"CRMS0003-H01","0.8544093","2013","1/1/2013 12:00:00 AM","9/30/2013 11:00:00 PM","1.75","-0.11","0.82","-0.41","0.496","-1.34","GEOID99   ","0.71","0.71",
"CRMS0003-H01","0.8082567","2014","1/1/2014 12:00:00 AM","12/31/2014 11:00:00 PM","1.11","-0.56","0.29","-0.56","0.256","-1.415","GEOID12A  ","0.64","0.64",
"CRMS0003-H01","0.7955445","2015","1/1/2015 12:00:00 AM","12/31/2015 11:00:00 PM","1.34","-0.42","0.45","-0.41","0.491","-1.273","GEOID12A  ","0.7","0.7",
"CRMS0003-H01","0.837038","2016","1/1/2016 12:00:00 AM","12/31/2016 11:00:00 PM","1.44","-0.4","0.54","-0.31","0.589","-1.25","GEOID12A  ","0.72","0.72",
"CRMS0003-H01","0.8309913","2017","1/1/2017 12:00:00 AM","12/31/2017 11:00:00 PM","1.36","-0.47","0.46","-0.39","0.508","-1.322","GEOID12A  ","0.75","0.75",
"CRMS0003-H01","0.8769566","2018","1/1/2018 12:00:00 AM","12/31/2018 11:00:00 PM","1.39","-0.5","0.48","-0.37","0.54","-1.355","GEOID12A  ","0.75","0.75",
"CRMS0003-H01","0.9256101","2019","1/1/2019 12:00:00 AM","12/31/2019 11:00:00 PM","1.57","-0.24","0.67","-0.19","0.711","-1.094","GEOID12A  ","0.71","0.71",
"CRMS0003-H01","0.9736506","2020","1/1/2020 12:00:00 AM","12/31/2020 11:00:00 PM","1.68","-0.36","0.69","-0.16","0.824","-1.212","GEOID12A  ","0.85","0.85",
"CRMS0003-H01","0.9918506","2021","1/1/2021 12:00:00 AM","12/31/2021 11:00:00 PM","1.66","-0.36","0.69","-0.16","0.806","-1.218","GEOID12A  ","0.82","0.82",
"CRMS0006-H01","0.1582277","2010","1/1/2010 12:00:00 AM","12/31/2010 11:00:00 PM","1.71","0.53","1.04","-0.14","0.53","-0.64","GEOID99   ","0.49","0.49",
"CRMS0006-H01","0.1241385","2011","1/1/2011 12:00:00 AM","12/31/2011 11:00:00 PM","1.6","0.49","0.96","-0.22","0.43","-0.68","GEOID99   ","0.52","0.52",
"CRMS0006-H01","0.1755598","2012","1/1/2012 12:00:00 AM","12/31/2012 11:00:00 PM","1.77","0.45","1.1","-0.08","0.6","-0.72","GEOID99   ","0.55","0.55",
"CRMS0006-H01","0.1658891","2013","1/1/2013 12:00:00 AM","9/30/2013 11:00:00 PM","1.82","0.47","1.09","0.08","0.787","-0.64","GEOID99   ","0.55","0.54",
"CRMS0006-H01","0.1658891","2013","10/1/2013 12:00:00 AM","12/31/2013 11:00:00 PM","1.82","0.47","1.09","0.08","0.787","-0.64","GEOID12A  ","0.55","0.54",
"CRMS0006-H01","0.1332477","2014","1/1/2014 12:00:00 AM","12/31/2014 11:00:00 PM","1.16","0.02","0.51","-0.01","0.636","-0.503","GEOID12A  ","0.45","0.45",
"CRMS0006-H01","0.08519575","2015","1/1/2015 12:00:00 AM","12/31/2015 11:00:00 PM","1.44","0.02","0.7","0.18","0.921","-0.502","GEOID12A  ","0.56","0.56",
"CRMS0006-H01","0.07320626","2016","1/1/2016 12:00:00 AM","12/31/2016 11:00:00 PM","1.6","0.43","0.99","0.47","1.079","-0.092","GEOID12A  ","0.5","0.5",
"CRMS0006-H01","0.04447384","2017","1/1/2017 12:00:00 AM","12/31/2017 11:00:00 PM","1.53","0.37","0.94","0.41","1.004","-0.156","GEOID12A  ","0.54","0.54",
"CRMS0006-H01","0.04581857","2018","1/1/2018 12:00:00 AM","12/31/2018 11:00:00 PM","1.41","0.3","0.83","0.31","0.89","-0.223","GEOID12A  ","0.47","0.47",
"CRMS0006-H01","0.04547777","2019","1/1/2019 12:00:00 AM","12/31/2019 11:00:00 PM","1.76","0.5","1.11","0.59","1.24","-0.024","GEOID12A  ","0.5","0.5",
"CRMS0006-H01","0.08012038","2020","1/1/2020 12:00:00 AM","12/31/2020 11:00:00 PM","1.63","0.31","0.93","0.41","1.105","-0.219","GEOID12A  ","0.58","0.58",
"CRMS0006-H01","0.09087319","2021","1/1/2021 12:00:00 AM","12/31/2021 11:00:00 PM","1.72","0.31","1.06","0.54","1.194","-0.216","GEOID12A  ","0.65","0.65",
"CRMS0008-H01","0.1459005","2012","1/1/2012 12:00:00 AM","12/31/2012 11:00:00 PM","2.12","0.34","1.26","0.36","1.22","-0.56","GEOID99   ","0.88","0.88",
"CRMS0008-H02","0.003215384","2013","2/20/2013 1:00:00 PM","9/30/2013 11:00:00 PM","2.02","1.16","1.57","0.91","1.34","0.669","GEOID99   ","0.34","0.3",
"CRMS0008-H02","0.003215384","2013","10/1/2013 12:00:00 AM","12/31/2013 11:00:00 PM","2.02","1.16","1.57","0.91","1.34","0.669","GEOID12A  ","0.34","0.3",
"CRMS0008-H02","0.002993159","2014","1/1/2014 12:00:00 AM","12/31/2014 11:00:00 PM","1.38","0.92","1.14","0.69","0.939","0.483","GEOID12A  ","0.26","0.26",
"CRMS0008-H02","0.005552862","2015","1/1/2015 12:00:00 AM","12/31/2015 11:00:00 PM","1.78","0.82","1.23","0.79","1.344","0.38","GEOID12A  ","0.47","0.47",
"CRMS0008-H02","0.006172736","2016","1/1/2016 12:00:00 AM","12/31/2016 11:00:00 PM","1.94","0.92","1.38","0.94","1.502","0.478","GEOID12A  ","0.74","0.74",
"CRMS0008-H02","0.009926172","2017","1/1/2017 12:00:00 AM","12/31/2017 11:00:00 PM","1.75","0.94","1.25","0.81","1.306","0.496","GEOID12A  ","0.42","0.42",
"CRMS0008-H02","0.01572991","2018","1/1/2018 12:00:00 AM","12/31/2018 11:00:00 PM","1.65","0.76","1.12","0.68","1.213","0.322","GEOID12A  ","0.37","0.37",
"CRMS0008-H02","0.01273323","2019","1/1/2019 12:00:00 AM","12/31/2019 11:00:00 PM","1.98","1","1.34","0.9","1.543","0.557","GEOID12A  ","0.41","0.41",
"CRMS0008-H02","0.01381584","2020","1/1/2020 12:00:00 AM","12/31/2020 11:00:00 PM","2.01","0.94","1.34","0.9","1.564","0.501","GEOID12A  ","0.48","0.48",
"CRMS0008-H02","0.01694123","2021","1/1/2021 12:00:00 AM","12/31/2021 11:00:00 PM","2.23","1.04","1.51","1.07","1.786","0.594","GEOID12A  ","0.69","0.69",
"CRMS0008-W01","0.003248315","2008","1/25/2008 3:00:00 PM","12/31/2008 11:00:00 PM","2.1","1.42","1.79","0.58","0.89","0.21","GEOID99   ","0.51","0.51",
"CRMS0008-W01","0.007604722","2009","1/1/2009 12:00:00 AM","12/31/2009 11:00:00 PM","2.3","0.79","1.66","0.45","1.09","-0.42","GEOID99   ","0.55","0.55",
"CRMS0008-W01","0.00395926","2010","1/1/2010 12:00:00 AM","12/31/2010 11:00:00 PM","1.96","1.39","1.67","0.46","0.75","0.18","GEOID99   ","0.29","0.29",
"CRMS0008-W01","0.004451122","2011","1/1/2011 12:00:00 AM","12/31/2011 11:00:00 PM","1.92","1.36","1.64","0.43","0.71","0.15","GEOID99   ","0.41","0.41",
"CRMS0030-H01","0.1927698","2008","1/1/2008 12:00:00 AM","12/31/2008 11:00:00 PM","1.9","0.29","1.02","-0.11","0.77","-0.84","GEOID99   ","0.76","0.76",
"CRMS0030-H01","0.1628403","2009","1/1/2009 12:00:00 AM","12/31/2009 11:00:00 PM","1.92","0.25","1.06","-0.07","0.79","-0.88","GEOID99   ","0.64","0.64",
"CRMS0030-H01","0.1601217","2010","1/1/2010 12:00:00 AM","12/31/2010 11:00:00 PM","1.78","0.29","1.01","-0.12","0.65","-0.84","GEOID99   ","0.58","0.58",
"CRMS0030-H01","0.1390206","2011","1/1/2011 12:00:00 AM","12/31/2011 11:00:00 PM","1.69","0.28","0.95","-0.18","0.56","-0.85","GEOID99   ","0.6","0.6",
"CRMS0030-H01","0.1790915","2012","1/1/2012 12:00:00 AM","12/31/2012 11:00:00 PM","1.85","0.37","1.11","-0.02","0.72","-0.76","GEOID99   ","0.58","0.59",
"CRMS0030-H01","0.2017421","2013","1/1/2013 12:00:00 AM","9/30/2013 11:00:00 PM","1.92","0.23","1.08","0.07","0.86","-0.77","GEOID99   ","0.64","0.61",
"CRMS0030-H01","0.2017421","2013","10/1/2013 12:00:00 AM","12/31/2013 11:00:00 PM","1.92","0.23","1.08","0.07","0.86","-0.77","GEOID12A  ","0.64","0.61",
"CRMS0030-H01","0.2089847","2014","1/1/2014 12:00:00 AM","12/31/2014 11:00:00 PM","1.13","-0.27","0.38","-0.28","0.469","-0.931","GEOID12A  ","0.54","0.54",
"CRMS0030-H01","0.2063344","2015","1/1/2015 12:00:00 AM","12/31/2015 11:00:00 PM","1.48","-0.28","0.57","-0.09","0.818","-0.944","GEOID12A  ","0.68","0.68",
"CRMS0030-H01","0.2061481","2016","1/1/2016 12:00:00 AM","12/31/2016 11:00:00 PM","1.64","0.06","0.83","0.17","0.98","-0.599","GEOID12A  ","0.68","0.68",
"CRMS0030-H01","0.2232326","2017","1/1/2017 12:00:00 AM","12/31/2017 11:00:00 PM","1.51","-0.14","0.7","0.04","0.846","-0.802","GEOID12A  ","0.71","0.71",
"CRMS0030-H01","0.2229824","2018","1/1/2018 12:00:00 AM","12/31/2018 11:00:00 PM","1.43","-0.18","0.65","-0.01","0.768","-0.839","GEOID12A  ","0.66","0.66",
"CRMS0030-H01","0.2243993","2019","1/1/2019 12:00:00 AM","12/31/2019 11:00:00 PM","1.76","0.14","0.95","0.29","1.099","-0.522","GEOID12A  ","0.65","0.65",
"CRMS0030-H01","0.229519","2020","1/1/2020 12:00:00 AM","12/31/2020 11:00:00 PM","1.84","0.01","0.92","0.26","1.175","-0.647","GEOID12A  ","0.77","0.77",
"CRMS0030-H01","0.2401979","2021","1/1/2021 12:00:00 AM","12/31/2021 11:00:00 PM","1.76","0.08","0.95","0.28","1.1","-0.584","GEOID12A  ","0.78","0.78",
"CRMS0033-H01","0.06408703","2008","1/1/2008 12:00:00 AM","12/31/2008 11:00:00 PM","2.01","0.44","1.11","0.18","1.08","-0.49","GEOID99   ","0.75","0.75",
"CRMS0033-H01","0.05734367","2009","1/1/2009 12:00:00 AM","12/31/2009 11:00:00 PM","1.89","0.23","1.01","0.08","0.96","-0.7","GEOID99   ","0.63","0.63",
"CRMS0033-H01","0.05492403","2010","1/1/2010 12:00:00 AM","12/31/2010 11:00:00 PM","1.71","0.28","0.98","0.05","0.78","-0.65","GEOID99   ","0.56","0.56",
"CRMS0033-H01","0.06444696","2011","1/1/2011 12:00:00 AM","12/31/2011 11:00:00 PM","1.67","0.32","0.95","0.02","0.74","-0.61","GEOID99   ","0.6","0.6",
"CRMS0033-H01","0.06311721","2012","1/1/2012 12:00:00 AM","12/31/2012 11:00:00 PM","1.91","0.5","1.18","0.25","0.98","-0.43","GEOID99   ","0.57","0.57",
"CRMS0033-H01","0.04190622","2013","1/1/2013 12:00:00 AM","9/30/2013 11:00:00 PM","1.92","0.62","1.25","0.43","1.07","-0.193","GEOID99   ","0.51","0.47",
"CRMS0033-H01","0.04190622","2013","10/1/2013 12:00:00 AM","12/31/2013 11:00:00 PM","1.92","0.62","1.25","0.43","1.07","-0.193","GEOID12A  ","0.51","0.47",
"CRMS0033-H01","0.03087993","2014","1/1/2014 12:00:00 AM","12/31/2014 11:00:00 PM","1.26","0.15","0.65","0.13","0.732","-0.373","GEOID12A  ","0.44","0.44",
"CRMS0033-H01","0.03095061","2015","1/1/2015 12:00:00 AM","12/31/2015 11:00:00 PM","1.65","0.2","0.87","0.35","1.123","-0.322","GEOID12A  ","0.56","0.56",
"CRMS0033-H01","0.03513346","2016","1/1/2016 12:00:00 AM","12/31/2016 11:00:00 PM","1.74","0.42","1.09","0.56","1.219","-0.1","GEOID12A  ","0.55","0.55",
"CRMS0033-H01","0.02375777","2017","1/1/2017 12:00:00 AM","12/31/2017 11:00:00 PM","1.62","0.45","1","0.48","1.097","-0.069","GEOID12A  ","0.53","0.53",
"CRMS0033-H01","0.04148839","2018","1/1/2018 12:00:00 AM","12/31/2018 11:00:00 PM","1.52","0.31","0.87","0.34","1.002","-0.212","GEOID12A  ","0.5","0.5",
"CRMS0033-H01","0.05044736","2019","1/1/2019 12:00:00 AM","12/31/2019 11:00:00 PM","1.81","0.51","1.1","0.57","1.287","-0.01","GEOID12A  ","0.5","0.5",
"CRMS0033-H01","0.05959689","2020","1/1/2020 12:00:00 AM","12/31/2020 11:00:00 PM","1.83","0.38","1.04","0.52","1.308","-0.145","GEOID12A  ","0.63","0.63",
"CRMS0034-H01","0.1454809","2008","1/1/2008 12:00:00 AM","12/31/2008 11:00:00 PM","2","0.3","1.05","0.07","1.02","-0.69","GEOID99   ","0.76","0.76",
"CRMS0034-H01","0.1240454","2009","1/1/2009 12:00:00 AM","12/31/2009 11:00:00 PM","1.92","0.21","1.04","0.06","0.94","-0.77","GEOID99   ","0.64","0.64",
"CRMS0034-H01","0.1296884","2010","1/1/2010 12:00:00 AM","12/31/2010 11:00:00 PM","1.72","0.25","0.97","-0.02","0.74","-0.73","GEOID99   ","0.58","0.58",
"CRMS0034-H01","0.1276468","2011","1/1/2011 12:00:00 AM","12/31/2011 11:00:00 PM","1.73","0.24","0.95","-0.03","0.75","-0.74","GEOID99   ","0.64","0.64",
"CRMS0034-H01","0.1495721","2012","1/1/2012 12:00:00 AM","12/31/2012 11:00:00 PM","1.8","0.36","1.09","0.1","0.82","-0.63","GEOID99   ","0.57","0.57",
"CRMS0034-H01","0.1503418","2013","10/1/2013 12:00:00 AM","12/31/2013 11:00:00 PM","1.89","0.23","1.08","0.2","0.98","-0.62","GEOID12A  ","0.62","0.61",
"CRMS0034-H01","0.1503418","2013","1/1/2013 12:00:00 AM","9/30/2013 11:00:00 PM","1.89","0.23","1.08","0.2","0.98","-0.62","GEOID99   ","0.62","0.61",
"CRMS0034-H01","0.1643686","2014","1/1/2014 12:00:00 AM","12/31/2014 11:00:00 PM","1.2","-0.18","0.47","-0.11","0.617","-0.763","GEOID12A  ","0.54","0.54",
"CRMS0034-H01","0.1268003","2015","1/1/2015 12:00:00 AM","12/31/2015 11:00:00 PM","1.59","-0.14","0.69","0.11","1.011","-0.721","GEOID12A  ","0.68","0.68",
"CRMS0034-H01","0.1345791","2016","1/1/2016 12:00:00 AM","12/31/2016 11:00:00 PM","1.76","0.19","0.98","0.39","1.177","-0.388","GEOID12A  ","0.67","0.67",
"CRMS0034-H01","0.1338928","2017","1/1/2017 12:00:00 AM","12/31/2017 11:00:00 PM","1.61","0.01","0.83","0.24","1.026","-0.57","GEOID12A  ","0.67","0.67",
"CRMS0034-H01","0.1517154","2018","1/1/2018 12:00:00 AM","12/31/2018 11:00:00 PM","1.46","-0.14","0.68","0.1","0.881","-0.721","GEOID12A  ","0.63","0.63",
"CRMS0034-H01","0.1499244","2019","1/1/2019 12:00:00 AM","12/31/2019 11:00:00 PM","1.83","0.2","1.02","0.43","1.247","-0.378","GEOID12A  ","0.62","0.62",
"CRMS0034-H01","0.1569573","2020","1/1/2020 12:00:00 AM","12/31/2020 11:00:00 PM","1.9","0.1","1","0.41","1.319","-0.49","GEOID12A  ","0.74","0.74",
"CRMS0034-H01","0.1500545","2021","1/1/2021 12:00:00 AM","12/31/2021 11:00:00 PM","1.97","0.25","1.11","0.53","1.387","-0.33","GEOID12A  ","0.79","0.79",
"CRMS0035-H01","0.8598034","2008","1/1/2008 12:00:00 AM","12/31/2008 11:00:00 PM","1.61","-0.42","0.64","-0.61","0.36","-1.67","GEOID99   ","0.9","0.9",
"CRMS0035-H01","0.7740291","2009","1/1/2009 12:00:00 AM","12/31/2009 11:00:00 PM","2","-0.23","0.9","-0.36","0.75","-1.48","GEOID99   ","0.93","0.93",
"CRMS0035-H01","0.8009735","2010","1/1/2010 12:00:00 AM","12/31/2010 11:00:00 PM","1.69","-0.33","0.68","-0.57","0.43","-1.58","GEOID99   ","0.77","0.77",
"CRMS0035-H01","0.8379451","2011","1/1/2011 12:00:00 AM","12/31/2011 11:00:00 PM","1.43","-0.39","0.57","-0.68","0.17","-1.65","GEOID99   ","0.75","0.75",
"CRMS0035-H01","0.729441","2012","1/1/2012 12:00:00 AM","12/31/2012 11:00:00 PM","1.84","-0.1","0.96","-0.32","0.57","-1.36","GEOID99   ","0.93","0.93",
"CRMS0035-H01","0.6623026","2013","1/1/2013 12:00:00 AM","9/30/2013 11:00:00 PM","1.98","0.07","1.08","-0.16","0.73","-1.16","GEOID99   ","0.73","0.72",
"CRMS0035-H01","0.6623026","2013","10/1/2013 12:00:00 AM","12/31/2013 11:00:00 PM","1.98","0.07","1.08","-0.16","0.73","-1.16","GEOID12A  ","0.73","0.72",
"CRMS0035-H01","0.6908516","2014","1/1/2014 12:00:00 AM","12/31/2014 11:00:00 PM","1.64","-0.37","0.63","-0.48","0.527","-1.482","GEOID12A  ","0.78","0.78",
"CRMS0035-H01","0.6875681","2015","1/1/2015 12:00:00 AM","12/31/2015 11:00:00 PM","1.69","-0.22","0.74","-0.37","0.582","-1.329","GEOID12A  ","0.75","0.75",
"CRMS0035-H01","0.6392598","2016","1/1/2016 12:00:00 AM","12/31/2016 11:00:00 PM","2.39","0.12","1.23","0.12","1.278","-0.994","GEOID12A  ","1.04","1.04",
"CRMS0035-H01","0.6794311","2017","1/1/2017 12:00:00 AM","12/31/2017 11:00:00 PM","1.93","-0.12","0.93","-0.18","0.82","-1.231","GEOID12A  ","0.82","0.82",
"CRMS0035-H01","0.7363799","2018","1/1/2018 12:00:00 AM","12/31/2018 11:00:00 PM","1.81","-0.15","0.9","-0.21","0.694","-1.266","GEOID12A  ","0.78","0.78",
"CRMS0035-H01","0.6504331","2019","1/1/2019 12:00:00 AM","12/31/2019 11:00:00 PM","2.29","0.27","1.34","0.23","1.174","-0.839","GEOID12A  ","0.79","0.79",
"CRMS0035-H01","0.6408125","2020","1/1/2020 12:00:00 AM","12/31/2020 11:00:00 PM","2.66","0.21","1.43","0.32","1.549","-0.901","GEOID12A  ","0.97","0.97",
"CRMS0035-H01","0.6501422","2021","1/1/2021 12:00:00 AM","12/31/2021 11:00:00 PM","2.52","0.21","1.44","0.33","1.407","-0.902","GEOID12A  ","1.01","1.01",
"CRMS0038-H01","0.1550543","2009","1/1/2009 12:00:00 AM","12/31/2009 11:00:00 PM","2.14","0.16","1.12","0.36","1.38","-0.6","GEOID99   ","0.76","0.76",
"CRMS0038-H01","0.149462","2010","1/1/2010 12:00:00 AM","12/31/2010 11:00:00 PM","1.82","0.09","0.99","0.23","1.06","-0.67","GEOID99   ","0.67","0.67",
"CRMS0038-H01","0.1702195","2011","1/1/2011 12:00:00 AM","12/31/2011 11:00:00 PM","1.76","0.18","0.97","0.21","1","-0.58","GEOID99   ","0.7","0.7",
"CRMS0038-H01","0.1415084","2012","1/1/2012 12:00:00 AM","12/31/2012 11:00:00 PM","2.13","0.39","1.28","0.52","1.37","-0.37","GEOID99   ","0.86","0.86",
"CRMS0038-H01","0.1319535","2013","1/1/2013 12:00:00 AM","9/30/2013 11:00:00 PM","2.11","0.35","1.29","0.64","1.44","-0.28","GEOID99   ","0.69","0.68",
"CRMS0038-H01","0.1319535","2013","10/1/2013 12:00:00 AM","12/31/2013 11:00:00 PM","2.11","0.35","1.29","0.64","1.44","-0.28","GEOID12A  ","0.69","0.68",
"CRMS0038-H01","0.1455858","2014","1/1/2014 12:00:00 AM","12/31/2014 11:00:00 PM","1.41","-0.01","0.68","0.33","1.058","-0.362","GEOID12A  ","0.59","0.59",
"CRMS0038-H01","0.1323574","2015","1/1/2015 12:00:00 AM","12/31/2015 11:00:00 PM","1.88","-0.02","0.9","0.54","1.528","-0.372","GEOID12A  ","0.77","0.77",
"CRMS0038-H01","0.1082824","2016","1/1/2016 12:00:00 AM","12/31/2016 11:00:00 PM","2.13","0.4","1.28","0.92","1.775","0.047","GEOID12A  ","0.85","0.85",
"CRMS0038-H01","0.118631","2017","1/1/2017 12:00:00 AM","12/31/2017 11:00:00 PM","1.88","0.2","1.03","0.68","1.524","-0.155","GEOID12A  ","0.7","0.7",
"CRMS0038-H01","0.1532636","2018","1/1/2018 12:00:00 AM","12/31/2018 11:00:00 PM","1.77","-0.02","0.88","0.53","1.422","-0.375","GEOID12A  ","0.69","0.69",
"CRMS0038-H01","0.1175432","2019","1/1/2019 12:00:00 AM","12/31/2019 11:00:00 PM","2.1","0.42","1.24","0.89","1.746","0.072","GEOID12A  ","0.63","0.63",
"CRMS0038-H01","0.1353596","2020","1/1/2020 12:00:00 AM","12/31/2020 11:00:00 PM","2.09","0.23","1.16","0.8","1.735","-0.125","GEOID12A  ","0.74","0.74",
"CRMS0038-H01","0.1317161","2021","1/1/2021 12:00:00 AM","12/31/2021 11:00:00 PM","2.28","0.35","1.3","0.95","1.924","-0.005","GEOID12A  ","0.89","0.89",
"CRMS0039-H01","0.002355671","2008","1/1/2008 12:00:00 AM","12/31/2008 11:00:00 PM","1.91","1.31","1.62","0.67","0.96","0.37","GEOID99   ","0.44","0.44",
"CRMS0039-H01","0.005756714","2009","1/1/2009 12:00:00 AM","12/31/2009 11:00:00 PM","2.11","1.28","1.63","0.68","1.16","0.33","GEOID99   ","0.34","0.34",
"CRMS0039-H01","0.002402818","2010","1/1/2010 12:00:00 AM","12/31/2010 11:00:00 PM","1.7","1.26","1.51","0.56","0.75","0.31","GEOID99   ","0.23","0.23",
"CRMS0039-H01","0.00322292","2011","1/1/2011 12:00:00 AM","12/31/2011 11:00:00 PM","1.66","1.21","1.48","0.53","0.71","0.26","GEOID99   ","0.32","0.32",
"CRMS0039-H01","0.001500748","2012","1/1/2012 12:00:00 AM","12/31/2012 11:00:00 PM","1.97","1.39","1.73","0.78","1.03","0.44","GEOID99   ","0.54","0.54",
"CRMS0039-H01","0.001139867","2013","10/1/2013 12:00:00 AM","12/31/2013 11:00:00 PM","1.92","1.34","1.65","0.89","1.27","0.47","GEOID12A  ","0.33","0.37",
"CRMS0039-H01","0.001139867","2013","1/1/2013 12:00:00 AM","9/30/2013 11:00:00 PM","1.92","1.34","1.65","0.89","1.27","0.47","GEOID99   ","0.33","0.37",
"CRMS0039-H01","0.001227219","2014","1/1/2014 12:00:00 AM","12/31/2014 11:00:00 PM","1.62","1.21","1.43","1.22","1.407","1.004","GEOID12A  ","0.23","0.23",
"CRMS0039-H01","0.004370313","2015","1/1/2015 12:00:00 AM","12/31/2015 11:00:00 PM","1.89","1.04","1.53","1.32","1.677","0.834","GEOID12A  ","0.39","0.39",
"CRMS0039-H01","0.002751872","2016","1/1/2016 12:00:00 AM","12/31/2016 11:00:00 PM","2.16","1.26","1.66","1.45","1.953","1.051","GEOID12A  ","0.57","0.57",
"CRMS0039-H01","0.0007804519","2017","1/1/2017 12:00:00 AM","12/31/2017 11:00:00 PM","2.02","1.36","1.67","1.46","1.808","1.148","GEOID12A  ","0.3","0.3",
"CRMS0039-H01","0.004414306","2018","1/1/2018 12:00:00 AM","12/31/2018 11:00:00 PM","1.84","1.24","1.62","1.41","1.634","1.027","GEOID12A  ","0.25","0.25",
"CRMS0039-H01","0.0005047272","2019","1/1/2019 12:00:00 AM","12/31/2019 11:00:00 PM","2.03","1.51","1.72","1.51","1.819","1.298","GEOID12A  ","0.21","0.21",
